618	939	343	420	084	750	168	784	173	432
494	438	108	623	118	719	947	885	578	827
037	576	781	270	987	923	764	029	083	828
870	922	245	836	769	278	754	982	155	468
814	695	132	003	608	995	378	345	999	770
538	744	217	714	658	855	749	478	346	937
429	955	212	938	767	159	488	560	220	443
383	493	894	520	910	233	645	505	532	001
232	994	504	997	603	072	170	736	553	545
251	141	053	500	253	426	897	890	035	359
874	660	621	696	639	511	681	572	428	099
680	024	636	747	697	373	146	148	817	975
262	010	272	061	184	686	871	142	956	361
591	431	566	735	546	844	014	277	729	441
040	328	386	766	147	973	402	412	782	933
878	204	025	513	499	397	519	720	408	482
333	664	692	579	862	777	986	105	473	971
514	755	597	218	925	524	843	410	667	474
812	104	943	826	185	433	006	302	611	602
321	023	282	659	451	028	475	907	082	633
013	549	360	133	790	846	527	646	879	256
501	442	209	721	157	542	301	289	457	589
876	012	834	071	134	322	558	518	046	110
860	615	993	748	243	915	143	197	453	131
974	571	960	357	760	336	191	137	921	045
344	929	918	355	075	978	275	163	059	452
694	444	881	089	296	000	320	854	427	946
508	461	818	239	800	145	258	266	032	189
940	450	961	312	415	942	377	543	652	413
303	832	791	708	017	318	342	627	008	530
462	944	416	728	340	810	833	895	796	622
859	090	080	841	055	517	403	011	992	034
154	698	101	725	643	548	647	330	969	484
316	138	425	556	422	042	661	685	970	207
178	188	122	018	348	510	223	121	707	390
376	962	094	765	690	981	813	552	365	257
440	896	581	021	255	202	952	630	423	825
297	332	648	657	535	699	366	179	158	617
797	107	230	926	479	016	140	638	411	448
575	290	235	496	595	793	600	629	787	861
246	358	684	489	203	672	635	265	662	663
331	314	557	273	964	640	853	353	734	009
033	005	455	655	534	593	503	858	368	889
300	126	516	135	341	801	670	677	074	388
477	167	888	953	375	816	717	166	294	304
864	550	194	233	404	293	086	526	616	060
820	688	180	313	199	409	281	905	742	102
536	070	649	523	276	067	215	912	759	724
119	802	908	174	665	449	949	727	391	161
298	711	175	229	607	436	498	430	682	093
972	387	778	716	941	115	460	310	236	363
491	612	338	798	306	679	106	587	192	200
732	177	400	237	731	015	097	831	669	144
740	401	384	421	683	268	414	774	261	291
211	984	171	570	228	153	087	385	195	151
758	434	058	531	125	712	866	979	598	620
806	113	835	305	821	286	916	066	467	349
529	569	471	470	815	789	872	095	596	198
654	945	048	069	824	231	599	718	020	248
752	723	656	116	350	606	036	932	904	392
738	604	456	644	761	555	990	364	887	565
898	906	829	326	963	746	007	068	842	903
847	287	114	395	573	509	263	085	393	225
176	779	216	965	254	030	722	893	049	522
308	666	756	928	319	582	317	458	088	628
054	182	594	382	590	445	502	678	743	931
998	285	792	845	476	927	625	374	152	274
687	515	930	701	601	584	506	705	713	241
911	465	047	052	507	379	244	469	805	324
447	044	371	851	762	568	002	260	771	920
077	352	065	334	367	098	222	183	156	076
783	139	562	399	674	577	405	347	187	605
989	700	950	339	362	985	150	610	026	547
247	924	038	967	751	811	776	480	370	315
398	819	063	271	651	100	372	091	632	886
899	837	948	031	214	983	991	703	136	619
464	803	406	267	968	954	354	917	537	675
650	914	327	772	181	219	977	823	856	284
483	634	299	056	439	164	586	234	165	875
726	808	492	786	250	004	567	880	481	249
510	902	900	323	689	394	988	539	092	673
609	768	472	710	051	980	702	909	583	891
882	809	839	112	073	631	996	936	852	057
668	160	111	022	592	794	485	873	103	737
389	780	857	454	123	822	730	490	463	417
227	574	544	019	224	205	027	329	525	951
958	309	913	283	741	109	653	709	264	466
753	127	614	096	830	563	117	559	196	959
892	050	884	919	853	486	193	865	129	269
240	877	733	807	528	206	259	381	554	693
935	437	775	252	311	585	418	407	424	497
186	521	867	671	405	868	976	380	799	850
039	435	637	226	208	763	419	459	804	691
745	335	757	838	624	869	715	795	041	172
512	078	190	642	288	169	739	162	564	676
561	081	120	221	848	124	487	901	788	242
773	356	351	280	295	588	064	533	149	704
541	883	966	279	325	079	369	337	062	626
446	641	128	210	580	849	043	785	957	551
396	292	840	613	213	130	201	934	706	307
