17	26	19	18	30	28	30	11	27	07	23	11	
26	29	01	31	29	30	11	30	07	27	07	30	
07	03	16	01	18	11	28	07	11	23	18	07	
23	07	23	16	01	07	07	27	30	11	26	27	
18	06	18	19	11	01	27	28	23	26	11	28	
06	23	22	11	07	27	01	23	17	18	27	23	
11	25	11	07	16	29	29	01	26	30	06	01	
25	11	07	23	19	16	23	13	01	06	30	13	
15	13	13	29	17	23	13	29	06	01	25	29	
13	15	21	13	23	13	16	06	13	25	01	06	
01	05	02	21	13	19	06	26	28	13	15	26	
27	01	24	02	06	06	31	16	15	15	13	16	
05	24	17	22	02	17	26	15	25	28	29	15	
29	17	25	06	21	02	15	17	16	17	05	17	
20	20	06	17	15	12	02	25	12	05	28	25	
12	09	12	15	12	15	12	02	05	12	20	02	
09	12	15	12	22	21	19	12	02	16	12	12	
24	08	14	24	28	18	17	05	29	02	09	05	
08	22	26	14	24	22	05	19	31	20	02	19	
02	04	03	25	14	05	21	18	20	09	16	18	
22	02	27	03	05	14	20	20	09	29	08	20	
04	21	30	26	03	20	14	09	19	08	24	09	
16	18	10	05	20	03	09	14	08	24	04	14	
28	27	05	20	25	09	03	08	14	04	22	08	
21	16	20	10	09	24	22	03	04	14	17	03	
30	10	29	09	26	25	03	04	03	19	14	04	
10	28	09	27	10	08	04	21	24	03	10	21	
14	19	31	30	08	04	24	22	18	22	03	22	
03	14	28	08	04	10	18	24	21	10	19	24	
19	00	08	04	31	26	10	31	10	21	31	31	
31	00	04	28	27	31	25	10	22	31	21	10	
